date,daily_ride_count,avg_ride_length_min
2025-01-22,3243,11.18306559255833
2025-01-23,4285,10.464464472967716
2025-01-24,4085,10.532287299061608
2025-01-25,4568,13.47638215119673
2025-01-26,3662,12.07992609229929
2025-01-27,6142,10.077982291327473
2025-01-28,7964,11.043266007450192
2025-01-29,8676,10.169603421315507
2025-01-30,7426,11.402526710207379
2025-01-31,3903,9.859694119907763
2025-02-01,5103,11.713459474818734
2025-02-02,4947,12.61489019607843
2025-02-03,6683,9.85399918699187
2025-02-04,6670,9.892815692153922
2025-02-05,6475,9.587812723294723
2025-02-06,5911,10.625558382676367
2025-02-07,6067,9.893817059502226
2025-02-08,4074,12.219863717067582
2025-02-09,4334,12.147022365789878
2025-02-10,6099,9.374504806798928
2025-02-11,5964,9.653519634473508
2025-02-12,3122,9.266603197736494
2025-02-13,3806,11.34615154580487
2025-02-14,3604,11.007024833518312
2025-02-15,2886,12.690750248325248
2025-02-16,2686,9.968651892529163
2025-02-17,2511,11.149175169255278
2025-02-18,2761,9.493669920318725
2025-02-19,4113,9.185264855336737
2025-02-20,4750,9.724395824561404
2025-02-21,4892,10.46370085513764
2025-02-22,4396,12.344509262208069
2025-02-23,4383,12.846860479884402
2025-02-24,8330,11.563372903161264
2025-02-25,10106,11.60324187941157
2025-02-26,8322,10.403226263718656
2025-02-27,9553,11.024813466973725
2025-02-28,9353,12.619471848604725
2025-03-01,4988,11.863528829190056
2025-03-02,4755,12.397856154924641
2025-03-03,7733,10.854586846415794
2025-03-04,5320,9.919634771303258
2025-03-05,6105,10.168558861588862
2025-03-06,8458,11.12405393907149
2025-03-07,5234,10.397156909947777
2025-03-08,8602,14.927343600325507
2025-03-09,10243,17.38091955807218
2025-03-10,13880,14.889065832132566
2025-03-11,10299,11.264530232708676
2025-03-12,10806,10.756003467209576
2025-03-13,11853,11.951605320734554
2025-03-14,19782,17.93819874127995
2025-03-15,16075,19.98225273302229
2025-03-16,3530,16.5904513503305
2025-03-17,9988,13.241234786744094
2025-03-18,14716,14.103400490395941
2025-03-19,7735,11.013693968972204
2025-03-20,7640,11.99910457897033
2025-03-21,10970,12.528631762382254
2025-03-22,8237,13.953963894621829
2025-03-23,5345,13.451209136264422
2025-03-24,8509,11.690298248912915
2025-03-25,10027,12.177473681061135
2025-03-26,9896,11.296062863783346
2025-03-27,10954,12.856846317935608
2025-03-28,16261,17.44811861304143
2025-03-29,13207,18.971992158198937
2025-03-30,8194,17.411581860711088
2025-03-31,8788,10.083178865119102
2025-04-01,10077,11.13573757401343
2025-04-02,6360,11.636465788784067
2025-04-03,12068,12.521944798917247
2025-04-04,10131,12.3205951123614
2025-04-05,10563,15.45821993436208
2025-04-06,9163,15.950047466259232
2025-04-07,8147,9.811065332842356
2025-04-08,10102,10.277503111595063
2025-04-09,8323,10.535924924906885
2025-04-10,10591,10.597649304440877
2025-04-11,11922,13.353840437845998
2025-04-12,13918,18.41692857211285
